Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,19 - 22 June 2026,,,,,,total,All,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.6,2.7,1.8,2.3,1.6,5.9,3.6,5.5,7.3,7.5,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,gender,Male,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.8,2.8,2.0,1.7,1.4,6.4,3.2,6.5,7.1,9.6,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,gender,Female,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.2,2.6,1.6,2.9,1.8,5.5,3.9,4.6,7.6,5.6,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,age,18-24,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,6.3,2.0,0.7,0.7,1.5,8.5,10.3,15.9,8.7,5.0,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,age,25-34,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.3,2.3,1.5,3.3,2.8,7.5,2.6,6.7,8.9,10.0,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,age,35-44,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,20.9,3.9,3.5,5.7,3.0,7.4,3.8,5.0,7.6,6.2,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,age,45-54,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.3,5.0,2.0,2.5,1.2,6.7,3.0,5.2,7.7,6.2,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,age,55-64,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.1,1.6,1.9,1.4,1.2,5.1,3.0,3.7,6.2,8.6,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,age,65-74,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,8.6,2.0,1.5,0.7,0.4,3.6,2.7,2.9,5.7,6.9,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,age,75+,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,8.8,0.8,0.4,0.3,,1.4,0.7,0.6,6.2,9.4,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,East Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.9,4.3,3.2,3.1,2.1,9.0,6.7,3.5,8.4,4.8,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,East of England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.6,4.0,3.5,3.4,1.5,5.8,2.6,2.7,8.2,6.7,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,Greater London,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.3,1.9,0.8,1.6,0.6,8.0,3.3,6.5,8.1,10.1,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,North East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,18.8,7.2,1.7,,0.6,5.6,6.8,6.3,5.7,12.0,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,North West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.1,3.4,3.0,1.7,0.5,6.5,0.7,5.1,8.7,6.4,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,Scotland,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,9.7,,1.8,9.7,2.6,1.2,3.9,6.5,5.8,6.4,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,South East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,15.1,2.2,0.7,0.2,3.2,5.5,3.0,6.9,8.1,9.1,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,South West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,20.2,1.8,0.7,2.9,3.6,8.4,6.1,3.1,4.7,5.7,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,Wales,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,15.2,1.5,3.5,,,1.0,5.8,2.5,7.9,5.3,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,West Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,8.4,1.7,1.6,3.1,0.2,5.9,2.7,9.8,6.9,8.4,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,region,Yorkshire and the Humber,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.1,3.8,0.7,,1.1,5.0,2.3,5.7,6.3,7.0,voting-intention-and-trackers-22-june.xlsx,likelihoodtovote
,19 - 22 June 2026,,,,,,total,All,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,14.4,14.0,8.1,8.6,19.3,2.3,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,gender,Male,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,14.0,16.1,8.6,8.4,21.5,2.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,gender,Female,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,14.8,12.0,7.6,8.8,17.2,1.8,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,age,18-24,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,11.3,15.4,8.6,28.9,10.1,0.7,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,age,25-34,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,10.6,19.3,4.7,10.7,17.4,1.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,age,35-44,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,9.8,11.5,7.2,8.3,17.8,4.1,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,age,45-54,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,11.9,14.1,8.0,7.5,21.2,3.1,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,age,55-64,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,11.5,14.1,9.4,4.7,23.9,2.1,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,age,65-74,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,20.5,11.1,9.5,2.7,25.6,2.6,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,age,75+,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,32.0,11.1,10.8,0.7,16.4,0.8,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,East Midlands,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,11.5,15.0,6.0,8.5,22.3,2.2,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,East of England,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,14.9,9.3,10.2,6.4,21.7,0.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,Greater London,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,13.3,22.9,8.9,13.6,15.0,0.7,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,North East England,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,7.4,19.3,5.9,10.1,22.4,0.5,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,North West England,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,12.0,15.1,6.5,8.7,27.0,3.3,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,Scotland,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,10.7,11.1,9.4,5.6,14.1,1.6,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,South East England,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,18.3,8.8,11.2,8.8,18.3,2.7,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,South West England,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,19.5,9.4,10.4,7.4,16.3,3.6,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,Wales,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,8.6,10.6,4.8,12.5,15.3,1.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,West Midlands,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,19.5,19.0,4.3,8.4,15.2,3.4,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,region,Yorkshire and the Humber,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,13.9,13.5,6.5,4.9,24.9,3.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention (raw)
,19 - 22 June 2026,,,,,,total,All,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,15.3,15.0,9.1,9.7,20.3,2.5,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,gender,Male,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,14.7,17.0,9.1,9.3,22.0,3.3,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,gender,Female,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,16.0,13.1,9.2,10.0,18.8,1.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,age,18-24,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,11.4,16.0,8.9,31.6,10.1,0.7,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,age,25-34,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,10.6,19.7,5.0,11.2,17.4,1.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,age,35-44,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,10.5,12.0,8.2,8.5,19.4,4.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,age,45-54,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,12.4,15.2,9.4,9.3,21.7,3.2,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,age,55-64,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,13.0,16.1,11.0,5.6,25.7,2.1,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,age,65-74,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,22.9,12.1,11.0,3.1,27.2,2.7,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,age,75+,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,33.9,12.7,11.9,2.1,18.3,1.1,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,region,East Midlands,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,12.8,15.7,6.2,8.8,23.2,2.2,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
,19 - 22 June 2026,,,,,,region,East of England,votingintention_squeeze,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,15.5,9.5,11.4,9.2,21.7,0.9,,,,,voting-intention-and-trackers-22-june.xlsx,votingintention_squeeze
